Транспортировка, хранение и сбыт;Сооружение и ремонт объектов систем трубопроводного транспорта
Транспортировка, хранение и сбыт;Цифровая логистика на транспорте
Транспортировка, хранение и сбыт;Проектирование, строительство и эксплуатация газонефтепроводов и газонефтехранилищ
Транспортировка, хранение и сбыт;Моделирование и оптимизация рабочих процессов в энергетических системах газонефтепроводов (магистратура)
Транспортировка, хранение и сбыт;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
Транспортировка, хранение и сбыт;Проектирование, строительство, эксплуатация газотранспортных и газораспределительных систем
Транспортировка, хранение и сбыт;Управление объектами добычи, транспорта и хранения углеводородов
Транспортировка, хранение и сбыт;Организация строительства, реконструкции и капитального ремонта нефтегазовых объектов (магистратура)
Транспортировка, хранение и сбыт;Технический контроль и диагностирование объектов и сооружений нефтегазового комплекса (магистратура)
Транспортировка, хранение и сбыт;Системный анализ проектов транспорта и хранения энергоресурсов (магистратура)
Транспортировка, хранение и сбыт;Моделирование процессов транспорта и хранения энергоресурсов (магистратура)
Другие направления подготовки;Управление разработкой нефтяных месторождений с использованием цифровых технологий (магистратура)
Другие направления подготовки;Автоматизированные системы управления технологическими процессами в нефтегазовой отрасли
Другие направления подготовки;Цифровые технологии и робототехника в нефтегазовой отрасли
Другие направления подготовки;Моделирование процессов нефтедобычи
Другие направления подготовки;Инженерная экономика и управление инновациями в нефтегазовой отрасли (магистратура)
Другие направления подготовки;Интегрированное моделирование месторождений (магистратура)
Другие направления подготовки;Проектная и исследовательская деятельность при планировании и реализации нефтегазовых проектов
Другие направления подготовки;Глобальная энергетическая политика и энергетическая безопасность
Другие направления подготовки;Управление в нефтегазовой отрасли
Другие направления подготовки;Численное моделирование распределения остаточной нефтенасыщенности в неоднородных заводненных пластах
Другие направления подготовки;Экономика и проблемы экологии нефтегазового комплекса
Другие направления подготовки;Управление нефтегазовыми активами (магистратура)
Другие направления подготовки;Проектирование и управление объектами нефтегазовой отрасли (магистратура)
Другие направления подготовки;Ресурсосберегающие технологии в нефтепродуктообеспечении (магистратура)
Другие направления подготовки;Цифровые технологии в нефтегазовой отрасли
